"FREQUENC","GEO","TIME","DEG_URB","SEX","AGE","UNIT","Value","Flag and Footnotes"
"Every day","European Union - 28 countries","2014","Cities","Total","Total","Percentage","8.9","e"
"Every day","European Union - 28 countries","2014","Cities","Total","From 15 to 24 years","Percentage","0.7","e"
"Every day","European Union - 28 countries","2014","Cities","Total","From 25 to 64 years","Percentage","8.0","e"
"Every day","European Union - 28 countries","2014","Cities","Total","65 years or over","Percentage","16.2","e"
"Every day","European Union - 28 countries","2014","Cities","Males","Total","Percentage","13.0","e"
"Every day","European Union - 28 countries","2014","Cities","Males","From 15 to 24 years","Percentage","1.3","e"
"Every day","European Union - 28 countries","2014","Cities","Males","From 25 to 64 years","Percentage","11.7","e"
"Every day","European Union - 28 countries","2014","Cities","Males","65 years or over","Percentage","25.0","e"
"Every day","European Union - 28 countries","2014","Cities","Females","Total","Percentage","5.3","e"
"Every day","European Union - 28 countries","2014","Cities","Females","From 15 to 24 years","Percentage","0.1","e"
"Every day","European Union - 28 countries","2014","Cities","Females","From 25 to 64 years","Percentage","4.6","e"
"Every day","European Union - 28 countries","2014","Cities","Females","65 years or over","Percentage","9.9","e"
"Every day","Belgium","2014","Cities","Total","Total","Percentage","14.9","u"
"Every day","Belgium","2014","Cities","Total","From 15 to 24 years","Percentage","0.7","u"
"Every day","Belgium","2014","Cities","Total","From 25 to 64 years","Percentage","13.3","u"
"Every day","Belgium","2014","Cities","Total","65 years or over","Percentage","25.8","u"
"Every day","Belgium","2014","Cities","Males","Total","Percentage","18.9","u"
"Every day","Belgium","2014","Cities","Males","From 15 to 24 years","Percentage","1.0","u"
"Every day","Belgium","2014","Cities","Males","From 25 to 64 years","Percentage","16.7","u"
"Every day","Belgium","2014","Cities","Males","65 years or over","Percentage","34.7","u"
"Every day","Belgium","2014","Cities","Females","Total","Percentage","11.1","u"
"Every day","Belgium","2014","Cities","Females","From 15 to 24 years","Percentage","0.5","u"
"Every day","Belgium","2014","Cities","Females","From 25 to 64 years","Percentage","10.0","u"
"Every day","Belgium","2014","Cities","Females","65 years or over","Percentage","18.4","u"
"Every day","Bulgaria","2014","Cities","Total","Total","Percentage","8.4",""
"Every day","Bulgaria","2014","Cities","Total","From 15 to 24 years","Percentage","3.4",""
"Every day","Bulgaria","2014","Cities","Total","From 25 to 64 years","Percentage","10.3",""
"Every day","Bulgaria","2014","Cities","Total","65 years or over","Percentage","4.6",""
"Every day","Bulgaria","2014","Cities","Males","Total","Percentage","12.7",""
"Every day","Bulgaria","2014","Cities","Males","From 15 to 24 years","Percentage","5.5",""
"Every day","Bulgaria","2014","Cities","Males","From 25 to 64 years","Percentage","14.7",""
"Every day","Bulgaria","2014","Cities","Males","65 years or over","Percentage","9.6",""
