GEO/TIME;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Belgium;17.417,90;18.123,02;18.507,82;18.987,41;19.558,21;19.811,95;19.946,63;20.128,70;20.769,79;21.247,61;22.115,77
Bulgaria;1.745,93;1.977,41;2.145,57;2.275,62;2.410,96;2.544,70;2.702,60;2.907,23;3.141,67;3.438,94;3.649,56
Czechia;5.920,38;5.862,21;6.228,27;6.504,55;6.540,34;6.319,91;6.109,51;6.336,36;6.634,30;7.210,28;7.885,95
Denmark;20.858,88;21.523,40;22.497,32;23.048,70;23.367,01;23.575,56;23.900,39;24.142,08;24.372,37;24.751,44;25.529,71
Germany (until 1990 former territory of the FRG);17.555,02;17.567,82;18.384,81;18.910,08;19.372,22;19.689,01;20.150,82;20.605,62;21.087,44;21.434,36;22.145,76
Estonia;5.647,06;5.298,32;5.359,12;5.697,00;6.024,23;6.448,37;6.762,77;7.249,71;7.809,29;8.338,97;9.498,58
Ireland;25.136,03;23.781,46;23.613,09;23.532,77;23.901,17;23.881,37;24.031,72;24.373,11;25.127,07;25.655,79;26.557,69
Greece;13.038,27;13.370,57;13.307,84;12.461,36;12.142,50;11.307,90;11.459,80;11.299,89;11.010,83;11.083,98;11.241,14
Spain;13.360,75;13.795,78;13.692,26;14.040,11;14.157,46;14.220,00;14.297,48;14.782,17;14.769,53;14.835,36;15.014,60
France;16.678,21;16.936,07;17.212,55;17.576,75;17.849,48;18.059,11;18.293,84;18.702,44;19.006,11;19.296,84;19.784,11
Croatia;:;:;:;:;:;5.656,35;5.641,76;5.858,05;6.040,77;6.515,22;6.813,58
Italy;13.469,77;13.705,61;13.992,79;14.174,80;14.405,67;14.626,37;15.600,97;16.002,05;16.029,61;16.060,36;16.201,74
Cyprus;:;:;:;:;:;:;14.025,17;:;:;14.027,02;14.373,57
Latvia;3.760,08;3.715,72;3.447,27;3.605,31;3.723,38;3.931,36;4.268,39;4.634,07;4.888,95;5.283,68;6.066,59
Lithuania;3.885,19;3.700,57;3.622,55;3.727,25;3.884,32;4.098,16;4.353,38;4.600,13;5.025,04;5.588,45;6.167,53
Luxembourg;25.164,09;26.129,83;26.665,38;26.884,91;27.702,70;28.200,34;28.719,32;28.917,71;29.149,54;31.094,04;31.713,50
Hungary;4.473,36;4.147,68;4.409,62;4.465,12;4.309,02;4.338,30;4.340,54;4.491,39;4.782,94;5.375,89;5.753,25
Malta;9.651,94;9.877,80;10.293,37;11.176,76;11.551,63;11.851,62;11.576,25;11.798,86;12.329,80;12.583,70;12.975,65
Netherlands;20.902,17;21.692,02;22.082,32;22.595,81;22.942,23;23.737,14;24.472,86;24.987,29;26.023,78;26.394,57;26.837,45
Austria;17.857,95;18.570,87;18.821,39;19.264,58;19.643,27;20.102,54;20.428,11;20.837,10;22.191,67;22.544,94;22.981,19
Poland;4.899,65;4.143,67;4.686,25;4.811,22;4.910,58;5.064,98;5.416,88;5.607,72;5.554,51;6.024,77;6.373,30
Portugal;8.762,57;8.821,96;9.297,30;9.102,78;9.520,86;9.486,20;9.367,79;9.191,48;9.328,82;9.457,85;9.666,12
Romania;2.719,27;2.453,01;2.653,35;2.792,95;2.734,20;2.964,70;3.146,04;3.485,82;3.782,85;4.133,32;4.538,24
Slovenia;7.386,88;7.537,61;8.079,40;8.289,45;8.380,12;8.455,20;8.575,77;8.638,90;8.746,75;8.787,85;9.157,12
Slovakia;4.766,41;5.015,04;5.147,33;5.184,08;5.303,04;5.410,05;5.620,91;5.733,06;5.880,44;6.148,24;6.448,72
Finland;19.044,55;19.911,53;20.396,05;20.875,80;21.538,28;21.784,15;21.817,64;22.036,10;22.410,86;22.822,64;23.168,14
Sweden;18.680,20;17.629,65;20.169,06;21.748,44;23.245,16;23.946,65;23.502,77;23.142,50;23.378,03;23.530,33;22.677,85
United Kingdom;21.650,80;19.486,00;20.725,48;20.613,69;22.713,43;22.142,44;23.514,35;26.836,19;24.492,20;23.788,26;24.224,97
Iceland;19.343,33;15.447,09;16.918,68;17.906,96;19.451,40;20.789,78;23.483,20;26.329,71;31.100,81;36.456,33;36.519,60
Norway;26.807,12;26.049,85;29.371,48;31.370,10;33.658,50;33.527,72;32.249,22;31.212,05;30.817,48;31.534,62;31.624,12
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
