gdp_per_capita
Table 1;;
GEO;TIME;gdp_per_capita in pps
Bulgaria;2008;43
Bulgaria;2009;43
Bulgaria;2010;44
Bulgaria;2011;45
Bulgaria;2012;46
Bulgaria;2013;45
Bulgaria;2014;47
Bulgaria;2015;47
Bulgaria;2016;49
Bulgaria;2017;50
Bulgaria;2018;51
Spain;2008;101
Spain;2009;100
Spain;2010;95
Spain;2011;92
Spain;2012;90
Spain;2013;89
Spain;2014;89
Spain;2015;90
Spain;2016;91
Spain;2017;92
Spain;2018;91
Romania;2008;51
Romania;2009;52
Romania;2010;51
Romania;2011;52
Romania;2012;54
Romania;2013;54
Romania;2014;55
Romania;2015;56
Romania;2016;59
Romania;2017;63
Romania;2018;65
Finland;2008;121
Finland;2009;118
Finland;2010;117
Finland;2011;118
Finland;2012;116
Finland;2013;114
Finland;2014;111
Finland;2015;110
Finland;2016;110
Finland;2017;110
Finland;2018;111
United Kingdom;2008;111
United Kingdom;2009;109
United Kingdom;2010;109
United Kingdom;2011;107
United Kingdom;2012;109
United Kingdom;2013;109
United Kingdom;2014;110
United Kingdom;2015;110
United Kingdom;2016;108
United Kingdom;2017;106
United Kingdom;2018;105
Switzerland;2008;158
Switzerland;2009;160
Switzerland;2010;159
Switzerland;2011;162
Switzerland;2012;164
Switzerland;2013;165
Switzerland;2014;165
Switzerland;2015;165
Switzerland;2016;160
Switzerland;2017;155
Switzerland;2018;155
