"INDICATORS","DECL","PRCCODE","PRCCODE_LABEL","PERIOD","Value","Flag and Footnotes"
"EXPQNT","France","11011030","Whisky (important: excluding alcohol duty)","Jan.-Dec. 2008","8,046,386",""
"EXPQNT","France","11011030","Whisky (important: excluding alcohol duty)","Jan.-Dec. 2009","7,851,780",""
"EXPQNT","France","11011030","Whisky (important: excluding alcohol duty)","Jan.-Dec. 2010","10,013,226",""
"EXPQNT","France","11011030","Whisky (important: excluding alcohol duty)","Jan.-Dec. 2011","11,382,509",""
"EXPQNT","France","11011030","Whisky (important: excluding alcohol duty)","Jan.-Dec. 2012","11,924,435",""
"EXPQNT","France","11011030","Whisky (important: excluding alcohol duty)","Jan.-Dec. 2013",":",""
"EXPQNT","France","11011030","Whisky (important: excluding alcohol duty)","Jan.-Dec. 2014",":",""
"EXPQNT","France","11011030","Whisky (important: excluding alcohol duty)","Jan.-Dec. 2015","12,304,720",""
"EXPQNT","France","11011030","Whisky (important: excluding alcohol duty)","Jan.-Dec. 2016",":",""
"EXPQNT","France","11011030","Whisky (important: excluding alcohol duty)","Jan.-Dec. 2017",":",""
"EXPQNT","France","11011030","Whisky (important: excluding alcohol duty)","Jan.-Dec. 2018",":",""
"EXPQNT","France","11011040","Rum and other spirits obtained by distilling fermented sugar-cane products (important: excluding alcohol duty)","Jan.-Dec. 2008","7,732,546",""
"EXPQNT","France","11011040","Rum and other spirits obtained by distilling fermented sugar-cane products (important: excluding alcohol duty)","Jan.-Dec. 2009","7,963,618",""
"EXPQNT","France","11011040","Rum and other spirits obtained by distilling fermented sugar-cane products (important: excluding alcohol duty)","Jan.-Dec. 2010","6,874,684",""
"EXPQNT","France","11011040","Rum and other spirits obtained by distilling fermented sugar-cane products (important: excluding alcohol duty)","Jan.-Dec. 2011","7,448,077",""
"EXPQNT","France","11011040","Rum and other spirits obtained by distilling fermented sugar-cane products (important: excluding alcohol duty)","Jan.-Dec. 2012","7,199,867",""
"EXPQNT","France","11011040","Rum and other spirits obtained by distilling fermented sugar-cane products (important: excluding alcohol duty)","Jan.-Dec. 2013",":",""
"EXPQNT","France","11011040","Rum and other spirits obtained by distilling fermented sugar-cane products (important: excluding alcohol duty)","Jan.-Dec. 2014",":",""
"EXPQNT","France","11011040","Rum and other spirits obtained by distilling fermented sugar-cane products (important: excluding alcohol duty)","Jan.-Dec. 2015","5,564,232",""
"EXPQNT","France","11011040","Rum and other spirits obtained by distilling fermented sugar-cane products (important: excluding alcohol duty)","Jan.-Dec. 2016",":",""
"EXPQNT","France","11011040","Rum and other spirits obtained by distilling fermented sugar-cane products (important: excluding alcohol duty)","Jan.-Dec. 2017",":",""
"EXPQNT","France","11011040","Rum and other spirits obtained by distilling fermented sugar-cane products (important: excluding alcohol duty)","Jan.-Dec. 2018",":",""
"EXPQNT","France","11011050","Gin and geneva (important: excluding alcohol duty)","Jan.-Dec. 2008","2,315,947",""
"EXPQNT","France","11011050","Gin and geneva (important: excluding alcohol duty)","Jan.-Dec. 2009","1,862,984",""
"EXPQNT","France","11011050","Gin and geneva (important: excluding alcohol duty)","Jan.-Dec. 2010","2,027,703",""
"EXPQNT","France","11011050","Gin and geneva (important: excluding alcohol duty)","Jan.-Dec. 2011","2,347,996",""
"EXPQNT","France","11011050","Gin and geneva (important: excluding alcohol duty)","Jan.-Dec. 2012","2,039,127",""
"EXPQNT","France","11011050","Gin and geneva (important: excluding alcohol duty)","Jan.-Dec. 2013",":",""
"EXPQNT","France","11011050","Gin and geneva (important: excluding alcohol duty)","Jan.-Dec. 2014",":",""
"EXPQNT","France","11011050","Gin and geneva (important: excluding alcohol duty)","Jan.-Dec. 2015","2,300,133",""
"EXPQNT","France","11011050","Gin and geneva (important: excluding alcohol duty)","Jan.-Dec. 2016",":",""
"EXPQNT","France","11011050","Gin and geneva (important: excluding alcohol duty)","Jan.-Dec. 2017",":",""
"EXPQNT","France","11011050","Gin and geneva (important: excluding alcohol duty)","Jan.-Dec. 2018",":",""
