"name","chistians","muslims","unaffiliated","hindus","buddhists","folkReligions","other","jews","pop2019"
"Afghanistan",30000,31330000,5000,10000,5000,5000,20000,5000,"38041.7540"
"Albania",580000,2570000,50000,5000,5000,5000,5000,5000,"2880.9170"
"Algeria",60000,34730000,660000,5000,5000,10000,5000,5000,"43053.0540"
"American Samoa",50000,5000,5000,5000,5000,5000,5000,5000,"55.3120"
"Andorra",70000,5000,5000,5000,5000,5000,5000,5000,"77.1420"
"Angola",17270000,40000,980000,5000,5000,790000,5000,5000,"31825.2950"
"Anguilla",10000,5000,5000,5000,5000,5000,5000,5000,"14.8690"
"Antigua and Barbuda",80000,5000,5000,5000,5000,5000,5000,5000,"97.1180"
"Argentina",34420000,400000,4920000,5000,20000,330000,120000,200000,"44780.6770"
"Armenia",3050000,5000,40000,5000,5000,5000,5000,5000,"2957.7310"
"Aruba",100000,5000,5000,5000,5000,5000,5000,5000,"106.3140"
"Australia",14980000,540000,5390000,310000,600000,150000,180000,110000,"25203.1980"
"Austria",6750000,450000,1130000,5000,20000,5000,10000,10000,"8955.1020"
"Azerbaijan",280000,8900000,5000,5000,5000,5000,5000,5000,"10047.7180"
"Bahamas",330000,5000,10000,5000,5000,5000,5000,5000,"389.4820"
"Bahrain",180000,890000,20000,120000,30000,5000,5000,5000,"1641.1720"
"Bangladesh",450000,134430000,5000,12680000,920000,100000,100000,5000,"163046.1610"
"Barbados",260000,5000,5000,5000,5000,5000,5000,5000,"287.0250"
"Belarus",6830000,20000,2740000,5000,5000,5000,5000,5000,"9452.4110"
"Belgium",6880000,630000,3110000,5000,30000,20000,10000,30000,"11539.3280"
"Belize",270000,5000,30000,5000,5000,5000,5000,5000,"390.3530"
"Benin",4690000,2110000,450000,5000,5000,1600000,5000,5000,"11801.1510"
"Bermuda",50000,5000,10000,5000,5000,5000,5000,5000,"62.5060"
"Bhutan",5000,5000,5000,160000,540000,10000,5000,5000,"763.0920"
"Bolivia",9330000,5000,400000,5000,5000,90000,100000,5000,"11513.1000"
"Bosnia and Herzegovina",1970000,1700000,90000,5000,5000,5000,5000,5000,3301
"Botswana",1450000,5000,410000,5000,5000,120000,10000,5000,"2303.6970"
"Brazil",173300000,40000,15410000,5000,250000,5540000,300000,110000,"211049.5270"
"British Virgin Islands",20000,5000,5000,5000,5000,5000,5000,5000,"30.0300"
"Brunei",40000,300000,5000,5000,30000,20000,5000,5000,"433.2850"
"Bulgaria",6150000,1020000,310000,5000,5000,5000,5000,5000,"7000.1190"
"Burkina Faso",3710000,10150000,70000,5000,5000,2530000,5000,5000,"20321.3780"
"Burundi",7670000,230000,5000,5000,5000,480000,5000,5000,"11530.5800"
"Cambodia",50000,280000,30000,5000,13690000,80000,5000,5000,"16486.5420"
"Cameroon",13780000,3590000,1050000,5000,5000,650000,530000,5000,"25876.3800"
"Canada",23470000,710000,8050000,470000,280000,390000,300000,350000,"37411.0470"
"Cape Verde",440000,5000,50000,5000,5000,5000,5000,5000,"549.9350"
"Cayman Islands",50000,5000,5000,5000,5000,5000,5000,5000,"64.9480"
"Central African Republic",3940000,370000,40000,5000,5000,40000,5000,5000,"4745.1850"
"Chad",4560000,6210000,280000,5000,5000,160000,20000,5000,"15946.8760"
"Chile",15300000,5000,1470000,5000,10000,260000,30000,20000,"18952.0380"
"China",68410000,24690000,700680000,20000,244110000,294300000,9080000,5000,"1433783.6860"
"Colombia",42810000,10000,3050000,5000,5000,370000,40000,5000,"50339.4430"
"Comoros",5000,720000,5000,5000,5000,5000,5000,5000,"850.8860"
"Cook Islands",20000,5000,5000,5000,5000,5000,5000,5000,"17.5480"
"Costa Rica",4230000,5000,370000,5000,5000,40000,10000,5000,"5047.5610"
"Croatia",4110000,60000,230000,5000,5000,5000,5000,5000,"4130.3040"
"Cuba",6670000,5000,2590000,20000,5000,1960000,5000,5000,"11333.4830"
"Cyprus",810000,280000,10000,5000,5000,5000,5000,5000,"1198.5750"
"Czech Republic",2450000,5000,8020000,5000,5000,5000,5000,5000,"10689.2090"
"Denmark",4630000,230000,650000,20000,10000,5000,5000,5000,"5771.8760"
"Djibouti",20000,860000,5000,5000,5000,5000,5000,5000,"973.5600"
"Dominica",70000,5000,5000,5000,5000,5000,5000,5000,"71.8080"
"Dominican Republic",8740000,5000,1080000,5000,5000,90000,10000,5000,"10738.9580"
"DR Congo",63210000,970000,1170000,30000,5000,490000,100000,5000,"86790.5670"
"Ecuador",13610000,5000,800000,5000,5000,40000,5000,5000,"17373.6620"
"Egypt",4120000,76990000,5000,5000,5000,5000,5000,5000,"100388.0730"
"El Salvador",5460000,5000,680000,5000,5000,30000,20000,5000,"6453.5530"
"Equatorial Guinea",620000,30000,30000,5000,5000,10000,5000,5000,"1355.9860"
"Eritrea",3310000,1920000,5000,5000,5000,20000,5000,5000,"3497.1170"
"Estonia",540000,5000,800000,5000,5000,5000,5000,5000,"1325.6480"
"Ethiopia",52070000,28680000,50000,5000,5000,2130000,5000,5000,"112078.7300"
"Falkland Islands",5000,5000,5000,5000,5000,5000,5000,5000,"3.3770"
"Fiji",550000,50000,5000,240000,5000,5000,5000,5000,"889.9530"
"Finland",4300000,40000,1020000,5000,5000,5000,5000,5000,"5532.1560"
"France",39560000,4710000,17580000,30000,280000,220000,100000,310000,"65129.7280"
"French Guiana",200000,5000,5000,5000,5000,20000,5000,5000,"290.8320"
"French Polynesia",250000,5000,10000,5000,5000,5000,5000,5000,"279.2870"
"Gabon",1150000,170000,80000,5000,5000,90000,5000,5000,"2172.5790"
"Gambia",80000,1640000,5000,5000,5000,5000,5000,5000,"2347.7060"
"Georgia",3850000,470000,30000,5000,5000,5000,5000,5000,"3996.7650"
"Germany",56540000,4760000,20350000,80000,210000,40000,100000,230000,"83517.0450"
"Ghana",18260000,3860000,1020000,5000,5000,1200000,40000,5000,"30417.8560"
"Gibraltar",30000,5000,5000,5000,5000,5000,5000,5000,"33.7010"
"Greece",10010000,610000,700000,20000,5000,10000,5000,5000,"10473.4550"
"Greenland",50000,5000,5000,5000,5000,5000,5000,5000,"56.6720"
"Grenada",100000,5000,5000,5000,5000,5000,5000,5000,"112.0030"
"Guadeloupe",440000,5000,10000,5000,5000,5000,5000,5000,"400.0560"
"Guam",170000,5000,5000,5000,5000,5000,5000,5000,"167.2940"
"Guatemala",13690000,5000,590000,5000,5000,80000,10000,5000,"17581.4720"
"Guinea",1090000,8430000,180000,5000,5000,270000,5000,5000,"12771.2460"
"Guinea-Bissau",300000,680000,70000,5000,5000,470000,5000,5000,"1920.9220"
"Guyana",500000,50000,10000,190000,5000,5000,5000,5000,"782.7660"
"Haiti",8690000,5000,1060000,5000,5000,220000,30000,5000,"11263.0770"
"Honduras",6660000,10000,790000,5000,5000,80000,40000,5000,"9746.1170"
"Hong Kong",1010000,130000,3950000,30000,930000,900000,110000,5000,"7436.1540"
"Hungary",8090000,5000,1860000,5000,5000,5000,5000,10000,"9684.6790"
"Iceland",300000,5000,10000,5000,5000,5000,5000,5000,"339.0310"
"India",31130000,176200000,870000,973750000,9250000,5850000,27560000,10000,"1366417.7540"
"Indonesia",23660000,209120000,240000,4050000,1720000,750000,340000,5000,"270625.5680"
"Iran",110000,73570000,110000,20000,5000,5000,150000,5000,"82913.9060"
"Iraq",270000,31340000,40000,5000,5000,5000,20000,5000,"39309.7830"
"Ireland",4110000,50000,280000,10000,5000,5000,5000,5000,"4882.4950"
"Isle of Man",70000,5000,10000,5000,5000,5000,5000,5000,"84.5840"
"Israel",150000,1380000,230000,5000,20000,20000,5000,5610000,"8519.3770"
"Italy",50440000,2220000,7500000,90000,110000,80000,60000,50000,"60550.0750"
"Ivory Coast",8710000,7390000,1570000,5000,5000,2020000,30000,5000,"25716.5440"
"Jamaica",2120000,5000,470000,5000,5000,120000,30000,5000,"2948.2790"
"Japan",2030000,200000,72120000,30000,45820000,450000,5890000,5000,"126860.3010"
"Jordan",130000,6010000,5000,5000,20000,5000,5000,5000,"10101.6940"
"Kazakhstan",3970000,11290000,670000,5000,40000,50000,20000,5000,"18551.4270"
"Kenya",34340000,3920000,1000000,60000,5000,690000,500000,5000,"52573.9730"
"Kiribati",90000,5000,5000,5000,5000,5000,5000,5000,"117.6060"
"Kuwait",390000,2030000,5000,230000,80000,5000,5000,5000,"4207.0830"
"Kyrgyzstan",610000,4690000,20000,5000,5000,5000,5000,5000,"6415.8500"
"Laos",90000,5000,50000,5000,4100000,1910000,50000,5000,"7169.4550"
"Latvia",1260000,5000,990000,5000,5000,5000,5000,5000,"1906.7430"
"Lebanon",1620000,2590000,10000,5000,5000,5000,5000,5000,"6855.7130"
"Lesotho",2100000,5000,70000,5000,5000,5000,5000,5000,"2125.2680"
"Liberia",3430000,480000,60000,5000,5000,20000,5000,5000,"4937.3740"
"Libya",170000,6140000,10000,5000,20000,5000,5000,5000,"6777.4520"
"Liechtenstein",30000,5000,5000,5000,5000,5000,5000,5000,"38.0190"
"Lithuania",2980000,5000,330000,5000,5000,5000,5000,5000,"2759.6270"
"Luxembourg",360000,10000,140000,5000,5000,5000,5000,5000,"615.7290"
"Macau",40000,5000,80000,5000,90000,320000,5000,5000,"640.4450"
"Madagascar",17680000,620000,1440000,10000,5000,940000,20000,5000,"26969.3070"
"Malawi",12320000,1930000,370000,5000,5000,260000,5000,5000,"18628.7470"
"Malaysia",2670000,18100000,190000,1720000,5010000,650000,60000,5000,"31949.7770"
"Maldives",5000,310000,5000,5000,5000,5000,5000,5000,"530.9530"
"Mali",370000,14510000,70000,5000,5000,410000,5000,5000,"19658.0310"
"Malta",400000,5000,10000,5000,5000,5000,5000,5000,"440.3720"
"Marshall Islands",50000,5000,5000,5000,5000,5000,5000,5000,"58.7910"
"Martinique",390000,5000,5000,5000,5000,5000,5000,5000,"375.5540"
"Mauritania",5000,3430000,5000,5000,5000,20000,5000,5000,"4525.6960"
"Mauritius",420000,220000,5000,630000,5000,5000,5000,5000,"1269.6680"
"Mayotte",5000,200000,5000,5000,5000,5000,5000,5000,"266.1500"
"Mexico",107910000,5000,5330000,5000,5000,70000,20000,70000,"127575.5290"
"Micronesia",110000,5000,5000,5000,5000,5000,5000,5000,"113.8150"
"Moldova",3480000,20000,50000,5000,5000,5000,5000,20000,"4043.2630"
"Monaco",30000,5000,5000,5000,5000,5000,5000,5000,"38.9640"
"Mongolia",60000,90000,990000,5000,1520000,100000,5000,5000,"3225.1670"
"Montenegro",490000,120000,20000,5000,5000,5000,5000,5000,"627.9870"
"Montserrat",5000,5000,5000,5000,5000,5000,5000,5000,"4.9890"
"Morocco",20000,31930000,5000,5000,5000,5000,5000,5000,"36471.7690"
"Mozambique",13260000,4200000,4200000,5000,5000,1720000,5000,5000,"30366.0360"
"Myanmar",3750000,1900000,240000,820000,38410000,2760000,80000,5000,"54045.4200"
"Namibia",2230000,5000,40000,5000,5000,5000,5000,5000,"2494.5300"
"Nauru",5000,5000,5000,5000,5000,5000,5000,5000,"10.7560"
"Nepal",140000,1370000,80000,24170000,3080000,1100000,20000,5000,"28608.7100"
"Netherlands",8410000,1000000,6990000,80000,40000,30000,30000,30000,"17097.1300"
"New Caledonia",210000,5000,30000,5000,5000,5000,5000,5000,"282.7500"
"New Zealand",2490000,50000,1600000,90000,70000,20000,30000,5000,"4783.0630"
"Nicaragua",4970000,5000,730000,5000,5000,80000,5000,5000,"6545.5020"
"Niger",120000,15270000,110000,5000,5000,5000,5000,5000,"23310.7150"
"Nigeria",78050000,77300000,680000,5000,10000,2290000,90000,5000,"200963.5990"
"Niue",5000,5000,5000,5000,5000,5000,5000,5000,"1.6150"
"North Korea",480000,5000,17350000,5000,370000,3000000,3140000,5000,"25666.1610"
"Northern Mariana Islands",40000,5000,5000,5000,5000,5000,5000,5000,"57.2160"
"Norway",4140000,180000,490000,20000,30000,5000,10000,5000,"5378.8570"
"Oman",180000,2390000,5000,150000,20000,5000,30000,5000,"4974.9860"
"Pakistan",2750000,167410000,20000,3330000,20000,30000,20000,5000,"216565.3180"
"Palau",20000,5000,5000,5000,5000,5000,5000,5000,"18.0080"
"Panama",3270000,30000,170000,5000,5000,20000,20000,10000,"4246.4390"
"Papua New Guinea",6800000,5000,5000,5000,5000,30000,20000,5000,"8776.1090"
