igralec,ekipa,drzava,cleanSheet,appearances
Antonio Mirante,roma,Italy,6,11
Adrian Šemper,chievoverona,Italy,2,6
Bartłomiej Drągowski,empoli,Italy,3,17
Alessio Cragno,cagliari,Italy,7,38
Gianluigi Donnarumma,milan,Italy,11,36
Pietro Terracciano,fiorentina,Italy,2,10
Juan Musso,udinese,Italy,7,29
Salvatore Sirigu,torino,Italy,14,36
Orestis Karnezis,napoli,Italy,4,9
Luigi Sepe,parma,Italy,10,37
Wojciech Szczęsny,juventus,Italy,11,28
Samir Handanovič,inter,Italy,17,38
Thomas Strakosha,lazio,Italy,10,35
Marco Sportiello,frosinone,Italy,8,35
Alex Meret,napoli,Italy,5,14
Mattia Perin,juventus,Italy,5,9
Emiliano Viviano,spal,Italy,3,17
Alban Lafont,fiorentina,Italy,8,34
Łukasz Skorupski,bologna,Italy,10,38
Emil Audero,sampdoria,Italy,11,36
Andrea Consigli,sassuolo,Italy,12,36
David Ospina,napoli,Italy,5,17
Simone Scuffet,udinese,Italy,2,9
Andrei Radu,genoa,Italy,6,33
Pierluigi Gollini,atalanta,Italy,4,20
Stefano Sorrentino,chievoverona,Italy,5,31
Robin Olsen,roma,Italy,4,27
Alfred Gomis,spal,Italy,5,20
Ivan Provedel,empoli,Italy,0,16
Etrit Berisha,atalanta,Italy,5,18
Walter Benítez,ogc-nice,France,16,35
Bobby Allain,dijon,France,1,13
Stéphane Ruffier,saint-etienne,France,13,37
Abdoulaye Diallo,stade-rennais,France,2,6
Edouard Mendy,stade-de-reims,France,14,38
Mike Maignan,lille-osc,France,15,38
Alphonse Aréola,paris-saint-germain,France,11,21
Benoît Costil,bordeaux,France,9,37
Gianluigi Buffon,paris-saint-germain,France,6,17
Ludovic Butelle,angers,France,11,36
Benjamin Lecomte,montpellier,France,11,37
Brice Samba,caen,France,9,38
Paul Bernardoni,nimes-olympique,France,10,38
Ciprian Tătărușanu,fc-nantes,France,7,27
Matz Sels,strasbourg,France,8,37
Anthony Lopes,olympique-lyonnais,France,9,34
Regis Gurtner,amiens,France,11,38
Danijel Subašić,as-monaco,France,4,14
Mauro Goicoechea,toulouse,France,3,8
Baptiste Reynet,toulouse,France,6,31
Marc-Aurele Caillard,guingamp,France,6,21
Steve Mandanda,olympique-de-marseille,France,9,31
Tomáš Koubek,stade-rennais,France,9,33
Diego Benaglio,as-monaco,France,4,23
Yohann Pelé,olympique-de-marseille,France,3,9
Rúnar Alex Rúnarsson,dijon,France,5,25
Karl-Johan Johnsson,guingamp,France,4,17
Maxime Dupé,fc-nantes,France,1,11
Hugo Lloris,tottenham,United Kingdom,12,33
Petr Čech,arsenal,United Kingdom,1,7
Alisson,liverpool,United Kingdom,21,38
Łukasz Fabiański,west-ham-united,United Kingdom,7,38
Vicente Guaita,crystal-palace,United Kingdom,7,20
Ederson,manchester-city,United Kingdom,20,38
Neil Etheridge,cardiff-city,United Kingdom,10,38
Bernd Leno,arsenal,United Kingdom,6,32
Kepa Arrizabalaga,chelsea,United Kingdom,14,36
Artur Boruc,bournemouth,United Kingdom,4,12
Tom Heaton,burnley,United Kingdom,4,19
Ben Foster,watford,United Kingdom,7,38
Sergio Rico,fulham,United Kingdom,5,29
Jordan Pickford,everton,United Kingdom,14,38
Joe Hart,burnley,United Kingdom,4,19
Kasper Schmeichel,leicester-city,United Kingdom,10,38
Martin Dúbravka,newcastle-united,United Kingdom,11,38
David De Gea,manchester-united,United Kingdom,7,38
Alex McCarthy,southampton,United Kingdom,4,25
Wayne Hennessey,crystal-palace,United Kingdom,5,18
Jonas Lössl,huddersfield-town,United Kingdom,4,31
Rui Patrício,wolverhampton,United Kingdom,7,37
Mathew Ryan,brighton-hove-albion,United Kingdom,6,34
Angus Gunn,southampton,United Kingdom,3,12
Marcus Bettinelli,fulham,United Kingdom,0,7
Asmir Begović,bournemouth,United Kingdom,5,24
Ben Hamer,huddersfield-town,United Kingdom,0,7
Gorka Iraizoz,girona,Spain,1,7
Jan Oblak,atletico-madrid,Spain,20,37
Sergio Asenjo,villarreal,Spain,9,32
Bono,girona,Spain,8,32
David Soria,getafe,Spain,13,37
Keylor Navas,real-madrid,Spain,4,10
Neto,valencia,Spain,10,34
Andrés Fernández,villarreal,Spain,2,6
Oier Olazábal,levante,Spain,5,21
Marc-André ter Stegen,barcelona,Spain,16,35
Aitor,levante,Spain,2,16
Fernando Pacheco,deportivo-alaves,Spain,8,35
Roberto Santamaria,huesca,Spain,6,20
Diego López,espanyol,Spain,10,38
Jordi Masip,real-valladolid,Spain,9,35
Thibaut Courtois,real-madrid,Spain,8,27
Pau López,real-betis,Spain,10,33
Gerónimo Rulli,real-sociedad,Spain,7,27
Tomáš Vaclík,sevilla,Spain,8,33
Iván Cuéllar,leganes,Spain,9,34
Rubén Blanco,celta-vigo,Spain,6,25
Stole Dimitrievski,rayo-vallecano,Spain,3,21
Miguel Ángel Moyà,real-sociedad,Spain,2,11
Marko Dmitrović,eibar,Spain,5,24
Alberto Garcia,rayo-vallecano,Spain,4,17
Iago Herrerín,athletic-bilbao,Spain,10,31
Sergio Álvarez,celta-vigo,Spain,2,13
Asier Riesgo,eibar,Spain,4,14
Unai Simon,athletic-bilbao,Spain,0,7
Aleksandar Jovanović,huesca,Spain,0,12
Axel Werner,huesca,Spain,0,6
Péter Gulácsi,rb-leipzig,Germany,15,33
Yann Sommer,borussia-mgladbach,Germany,13,34
Michael Esser,hannover-96,Germany,5,32
Robin Zentner,1-fsv-mainz-05,Germany,2,10
Andreas Luthe,augsburg,Germany,2,15
Kevin Trapp,eintracht-frankfurt,Germany,8,33
Koen Casteels,wolfsburg,Germany,8,26
Oliver Baumann,1899-hoffenheim,Germany,5,33
Jiří Pavlenka,werder-bremen,Germany,5,34
Pavao Pervan,wolfsburg,Germany,1,9
Roman Bürki,borussia-dortmund,Germany,10,32
Ralf Fährmann,fc-schalke-04,Germany,3,17
Christian Mathenia,1-fc-nurnberg,Germany,2,22
Alexander Schwolow,freiburg,Germany,5,33
Rune Jarstein,hertha-bsc,Germany,8,31
Lukáš Hrádecký,bayer-04-leverkusen,Germany,9,32
Alexander Nübel,fc-schalke-04,Germany,4,18
Ron-Robert Zieler,vfb-stuttgart,Germany,6,34
Michael Rensing,fortuna-dusseldorf,Germany,5,32
Florian Müller,1-fsv-mainz-05,Germany,5,24
Sven Ulreich,bayern-munchen,Germany,2,9
Manuel Neuer,bayern-munchen,Germany,10,26
Gregor Kobel,augsburg,Germany,3,17
Fabian Bredlow,1-fc-nurnberg,Germany,2,13
