igralec,ekipa,drzava,goalsConcededInsideTheBox,savedShotsFromInsideTheBox,goalsConcededOutsideTheBox,savedShotsFromOutsideTheBox,penaltySave,penaltyFaced
Antonio Mirante,roma,Italy,5,19,1,13,1,1
Adrian Šemper,chievoverona,Italy,7,12,1,12,0,0
Bartłomiej Drągowski,empoli,Italy,18,47,8,31,1,4
Alessio Cragno,cagliari,Italy,49,107,5,46,2,10
Gianluigi Donnarumma,milan,Italy,25,61,6,35,1,4
Pietro Terracciano,fiorentina,Italy,12,23,1,11,0,0
Juan Musso,udinese,Italy,37,63,3,42,0,8
Salvatore Sirigu,torino,Italy,31,67,4,34,2,4
Orestis Karnezis,napoli,Italy,6,14,1,6,0,1
Luigi Sepe,parma,Italy,51,90,8,52,0,8
Wojciech Szczęsny,juventus,Italy,19,36,1,26,1,3
Samir Handanovič,inter,Italy,26,62,7,35,0,5
Thomas Strakosha,lazio,Italy,33,57,6,39,1,6
Marco Sportiello,frosinone,Italy,56,88,8,50,0,5
Alex Meret,napoli,Italy,9,25,0,14,0,2
Mattia Perin,juventus,Italy,7,11,1,8,0,1
Emiliano Viviano,spal,Italy,23,34,2,25,0,4
Alban Lafont,fiorentina,Italy,33,46,7,45,1,6
Łukasz Skorupski,bologna,Italy,48,68,8,50,0,4
Emil Audero,sampdoria,Italy,45,59,6,37,1,8
Andrea Consigli,sassuolo,Italy,47,73,9,28,3,8
David Ospina,napoli,Italy,18,24,2,18,0,1
Simone Scuffet,udinese,Italy,11,17,2,8,0,1
Andrei Radu,genoa,Italy,40,64,6,41,1,6
Pierluigi Gollini,atalanta,Italy,18,31,3,18,0,3
Stefano Sorrentino,chievoverona,Italy,48,68,12,41,2,4
Robin Olsen,roma,Italy,36,48,6,37,0,6
Alfred Gomis,spal,Italy,26,27,1,22,0,1
Ivan Provedel,empoli,Italy,27,41,9,28,0,4
Etrit Berisha,atalanta,Italy,22,28,3,13,0,2
Walter Benítez,ogc-nice,France,27,69,2,46,3,5
Bobby Allain,dijon,France,13,35,4,21,0,1
Stéphane Ruffier,saint-etienne,France,35,67,5,41,1,9
Abdoulaye Diallo,stade-rennais,France,4,9,0,7,0,1
Edouard Mendy,stade-de-reims,France,40,58,2,53,0,7
Mike Maignan,lille-osc,France,29,56,4,36,2,10
Alphonse Aréola,paris-saint-germain,France,16,30,1,20,0,4
Benoît Costil,bordeaux,France,39,65,3,45,1,7
Gianluigi Buffon,paris-saint-germain,France,16,26,2,24,1,2
Ludovic Butelle,angers,France,43,83,5,32,2,5
Benjamin Lecomte,montpellier,France,39,57,3,46,1,5
Brice Samba,caen,France,47,87,7,54,2,8
Paul Bernardoni,nimes-olympique,France,49,80,9,43,1,5
Ciprian Tătărușanu,fc-nantes,France,25,40,5,25,3,4
Matz Sels,strasbourg,France,38,59,10,42,2,9
Anthony Lopes,olympique-lyonnais,France,39,53,3,42,0,5
Regis Gurtner,amiens,France,45,70,7,46,2,9
Danijel Subašić,as-monaco,France,11,14,1,13,1,3
Mauro Goicoechea,toulouse,France,9,15,3,8,0,1
Baptiste Reynet,toulouse,France,37,56,8,43,1,5
Marc-Aurele Caillard,guingamp,France,30,34,4,25,1,2
Steve Mandanda,olympique-de-marseille,France,36,42,4,31,1,7
Tomáš Koubek,stade-rennais,France,42,55,6,36,1,4
Diego Benaglio,as-monaco,France,32,41,6,18,2,5
Yohann Pelé,olympique-de-marseille,France,11,9,1,4,1,5
Rúnar Alex Rúnarsson,dijon,France,34,28,9,28,0,2
Karl-Johan Johnsson,guingamp,France,24,21,10,23,1,4
Maxime Dupé,fc-nantes,France,13,13,4,4,1,3
Hugo Lloris,tottenham,United Kingdom,29,70,4,30,2,5
Petr Čech,arsenal,United Kingdom,7,16,2,12,0,0
Alisson,liverpool,United Kingdom,21,50,1,24,0,1
Łukasz Fabiański,west-ham-united,United Kingdom,51,100,4,44,1,5
Vicente Guaita,crystal-palace,United Kingdom,18,41,5,22,0,1
Ederson,manchester-city,United Kingdom,21,37,2,21,0,4
Neil Etheridge,cardiff-city,United Kingdom,55,98,14,40,3,7
Bernd Leno,arsenal,United Kingdom,41,67,1,37,0,7
Kepa Arrizabalaga,chelsea,United Kingdom,31,44,8,38,1,2
Artur Boruc,bournemouth,United Kingdom,15,23,3,15,0,3
Tom Heaton,burnley,United Kingdom,24,37,3,22,0,1
Ben Foster,watford,United Kingdom,54,83,5,41,1,5
Sergio Rico,fulham,United Kingdom,50,82,6,29,0,4
Jordan Pickford,everton,United Kingdom,40,55,6,37,3,5
Joe Hart,burnley,United Kingdom,30,51,11,25,1,2
Kasper Schmeichel,leicester-city,United Kingdom,39,61,9,29,0,5
Martin Dúbravka,newcastle-united,United Kingdom,42,65,6,29,0,6
David De Gea,manchester-united,United Kingdom,46,63,8,57,0,6
Alex McCarthy,southampton,United Kingdom,40,56,4,22,0,2
Wayne Hennessey,crystal-palace,United Kingdom,22,29,4,14,1,4
Jonas Lössl,huddersfield-town,United Kingdom,50,61,4,26,1,5
Rui Patrício,wolverhampton,United Kingdom,36,57,10,39,0,4
