"","ID","Starost","Spol","Zaposlitev","Nastanitev","Prihranki","Velikost kredita","Trajanje","Namen","Ocena"
"1","  0","67","moški","2","lastno",NA," 596"," 6","radio/TV","dober"
"2","  1","22","ženska","2","lastno","malo","3035","48","radio/TV","slab"
"3","  2","49","moški","1","lastno","malo","1068","12","izobrazba","dober"
"4","  3","45","moški","2","drugo","malo","4019","42","pohištvo/oprema","dober"
"5","  4","53","moški","2","drugo","malo","2483","24","avto","slab"
"6","  5","35","moški","1","drugo",NA,"4618","36","izobrazba","dober"
"7","  6","53","moški","2","lastno","zelo veliko","1445","24","pohištvo/oprema","dober"
"8","  7","35","moški","3","najem","malo","3543","36","avto","dober"
"9","  8","61","moški","1","lastno","veliko","1560","12","radio/TV","dober"
"10","  9","28","moški","3","lastno","malo","2669","30","avto","slab"
"11"," 10","25","ženska","2","najem","malo"," 660","12","avto","slab"
"12"," 11","24","ženska","2","najem","malo","2197","48","posel","slab"
"13"," 12","22","ženska","2","lastno","malo"," 799","12","radio/TV","dober"
"14"," 13","60","moški","1","lastno","malo"," 611","24","avto","slab"
"15"," 14","28","ženska","2","najem","malo"," 715","15","avto","dober"
"16"," 15","32","ženska","1","lastno","srednje"," 653","24","radio/TV","slab"
"17"," 16","53","moški","2","lastno",NA,"1236","24","radio/TV","dober"
"18"," 17","25","moški","2","lastno",NA,"4116","30","posel","dober"
"19"," 18","44","ženska","3","drugo","malo","6415","24","avto","slab"
"20"," 19","31","moški","2","lastno","zelo veliko","1749","24","radio/TV","dober"
"21"," 20","48","moški","2","lastno","malo","1088"," 9","avto","dober"
"22"," 21","44","moški","2","najem","zelo veliko","1349"," 6","radio/TV","dober"
"23"," 22","48","moški","1","najem","malo","1142","10","avto","dober"
"24"," 23","44","moški","2","lastno","srednje"," 920","12","avto","dober"
"25"," 24","26","moški","2","lastno",NA,"1055","10","pohištvo/oprema","dober"
"26"," 25","36","moški","1","lastno","malo"," 700"," 6","pohištvo/oprema","dober"
"27"," 26","39","moški","1","lastno","malo"," 217"," 6","radio/TV","dober"
"28"," 27","42","ženska","2","najem","veliko"," 208","12","radio/TV","dober"
"29"," 28","34","moški","2","lastno","malo","1231"," 7","radio/TV","dober"
"30"," 29","63","moški","2","lastno","malo","3486","60","posel","slab"
"31"," 30","36","moški","2","lastno","veliko"," 975","18","posel","dober"
"32"," 31","27","moški","2","lastno","malo","2050","24","pohištvo/oprema","dober"
"33"," 32","30","moški","2","lastno","srednje","2991","18","avto","dober"
"34"," 33","57","moški","1","najem",NA," 644","12","posel","dober"
